codigo,Estado en Web,articulo,descripcion,web,minimo,ultimoin,moneda,precio,familia,figaro,marca
CM-259.123,1,SOLDADOS X6,,259123,2,,$,98,JUGUETERIA,SOLDADOS CON ACCESORIOS 295,
CM-259.130,1,MUÑECA CON PONNY,"Blister &nbsp;de 26x25 cm el cual contiene una muñeca de 12cm y pony.<br>
Materiales: la muñeca es de plástico con la cara de goma y el pony es todo de goma.<br>
El blister incluye accesorios.<br>
Cod de barras 6940350861385",259130,1,,$,158,JUGUETERIA,PONNY CON MUÑECA AC08-A5,
CM-37.118,1,PERFUME AL BAKHOOR,"Perfume FORRES con spray vaporizador<br>
Fragancia Red Rose <br>
Contenido 100cc<br>
Presentación : caja individual",37118,3,,$,79,PERFUMES,PERFUME ALBAR 6882B,
CM-41.44,2,CORTA PELO MASCOTA,"Set Corta pelo para mascota marca GEMEI<br>
Modelo: GM-1023, super silencioso<br>
En estuche profesional<br>
Con accesorios: peine, cepillo y tijera. &nbsp;<br>
Cuchillas de posición regulable.<br>
4 Peines para regulación de altura de corte<br>
Cepillo y lubricante para limpieza",4144,2,,USD,25,TOCADOR,CORTADORA PELO MASCOTA GEMEI KIT GM-1023,GEMEI
CM-43.99,1,LNB 1 SALIDA STAR-COM,"LNB para banda Ku Universal de 1 salida<br>
Marca STAR COM. Modelo SR-320 HD<br>
Frecuencia de entrada: 10.7 a 11.70 y 11.70 a 12.75 Ghz<br>
Frecuencia de salida: 950 a 1950 y 1.100 a2.150 mhz<br>
Frecuencia LO 9.75/10.6 Ghz<br>
Ruido 0.1 dB<br>
Presentación: caja individual.",36112,1,,USD,4.5,ELECTRONICA,LNB UNIVERSAL SR320,
CM-43.98,1,PROYECTOR LED,"Proyector LED con control remoto.<br>
Sistema de imagen: LCD<br>
Resolución máxima soportada: 1920x1080<br>
Brillo : 48 Lux, Contraste 300:1<br>
Lente: F=125 control de foco regulable.<br>
Tamaño de la imagen : 48 a 192 cms<br>
Distancia de proyección: entre 1.25 y 4.0 m<br>
Entradas: RGB, HDMI, USB, SD y VGA<br>
Incluye fuente 12V<br>
Presentación: caja individual",4398,2,,USD,110,ELECTRONICA,PROYECTOR LED,
CM-43.109,1,TAPONES DE OIDOS Y NARIZ,"Set de tapones de oidos y de nariz para natación<br>
Marca GRILONG<br>
Material: silicona<br>
Presentación: set en caja",43109,12,,$,35,DEPORTES,TAPON OIDOS Y NARIZ,
CM-43.106,1,LENTES DE NATACION EN ESTUCHE,"Lentes de natación marca GRILONG<br>
Incluye tapones para oidos, de silicona<br>
En estuche<br>
Correa de silicona ajustable",43106,2,,$,245,DEPORTES,LENTES DE NATACION DZ-1600,
CM-43.102,1,PLANCHA A VAPOR,"Plancha marca REDMOND<br>
Modelo D-808<br>
A vapor<br>
Regulador de temperatura<br>
Luz indicadora de funcionamiento<br>
1200 W<br>
Incluye vaso graduado para llenado de tanque",43102,2,,USD,9,ELECTRODOMESTICOS,PLANCHA A VAPOR 1200W YPF,
CM-43.103,1,MIXER LICUADORA BATIDOR,Mixer batidor de alta velocidad,43103,2,,USD,19,ELECTRODOMESTICOS,MIXER LICUADORA BATIDOR KY692,
CM-43.96,1,SOPORTE PARA TV 100Kg,"Soporte universal para Monitores,TV led y LCD. Ref.: TV-520<br>
Soporta de &nbsp;10&quot; a 72&quot;. Peso máximo 100 kg.<br>
Distancia a la pared 3.5 cm<br>
Tipo de soporte: semi inclinado<br>
Presentación: set en caja, apta para exhibidor.<br>
Código de barras: 7899287705202",2941,1,,USD,6.5,ELECTRODOMESTICOS,SOPORTE PARA TV UNIVERSAL LC-800,
CM-43.107,1,GORRA DE NATACION,"Gorra de natación.<br>
100% silicona.<br>
Disponible en colores lisos, azul, blanco, negro y rosado<br>
Se vende en colores surtidos<br>
Presentación: en estuche individual, apto para exhibidor.",3310,6,,$,70,DEPORTES,GORRA NATACION SILICONA 4602,
CM-43.108,1,GORRA NATACIÓN,"Gorra de natación estampada<br>
NO impermeable<br>
Variedad de diseños (no a elección)<br>
Presentación: a granel",43108,6,,$,53,DEPORTES,GORRA NATACION DUCHA NO IMPERM. 4602A,
CM-43.104,1,JUGUERA ELECTRICA,"Diseño ergonómico moderno.<br>
Cuerpo de acero inoxidable<br>
Jugo de frutas enteras y vegetales.<br>
Sistema de seguridad incorporado con palanca de bloqueo de seguridad.<br>
Tapa transparente<br>
Capacidad de 1800 ml y <br>
Contenedor de pulpa de 2000 ml<br>
Vaso recolector de 450 cc",43104,2,,USD,49,ELECTRODOMESTICOS,JUGUERA ELECTRICA EXTRACTOR SHB-3086,
CM-43.110,1,LENTES DE NATACION,"Lentes de natación junior, infantiles<br>
Incluye tapones de oidos y de nariz<br>
Varios colores<br>
Correa regulable<br>
Presentación: set en blister, apto para exhibidor",,3,,$,95,DEPORTES,LENTES DE NATACION NIÐO JUNIOR G-1198,
CM-43.97,1,PARLANTE BLUETOOTH,"Parlante bluetooth a batería recargable<br>
Inalámbrico<br>
Control total desde el smartphone<br>
Lector de tarjetas de memoria y entrada auxiliar<br>
Conexión USB<br>
Hasta 15 horas de reproducción<br>
Carga mediante USB<br>
Resistente a salpicaduras<br>
Medidas: 22 x 10 cms<br>
Incluye Correa, cable USB y miniUSB<br>
Colores disponibles: rojo, negro, azul, gris y camuflado<br>
Presentación en caja individual",4397,2,,$,1595,ELECTRONICA,PARLANTE BLUETOOTH 17-3,
CM-44.47,1,BATIDOR MANUAL PLEGABLE,"Batidor manual plegable<br>
Material: plástico<br>
Plegable para fácil guardado<br>
Presentación; blister<br>
Medidas: largo 30 cm",4447,6,,$,59,BAZAR,BATIDOR MANUAL PLASTICO 027,
CM-44.48,1,CUCHARAS COCINA X3,"Juego de 3 cucharas para cocina<br>
3 largos de mango diferentes<br>
Material: plástico<br>
Largos : 25, 29 y 34 cm<br>
Presentación : set en blister, apto para exhibidor",4448,6,,$,59,BAZAR,CUCHARAS DE COCINA X 3  314-B,
